order_id,order_date,ship_date,customer_id,customer_name,segment,country,city,state,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
ORD-100000,1/1/2022 0:00,1/2/2022 0:00,4174,Customer_0,Home Office,India,Delhi,TS,North,113,Office Supplies,Binders,Product_B,1546.35,6,0.48,513.91
ORD-100001,1/1/2022 1:00,1/2/2022 1:00,4507,Customer_1,Corporate,India,Delhi,MH,West,265,Furniture,Chairs,Product_B,792.49,5,0.43,37.25
ORD-100002,1/1/2022 2:00,1/2/2022 2:00,1860,Customer_2,Consumer,India,Chennai,MH,North,499,Furniture,Binders,Product_B,4824.47,8,0.47,-53.54
ORD-100003,1/1/2022 3:00,1/2/2022 3:00,2294,Customer_3,Corporate,India,Chennai,TS,South,461,Office Supplies,Chairs,Product_D,2859.49,2,0.06,892.6
ORD-100004,1/1/2022 4:00,1/2/2022 4:00,2130,Customer_4,Home Office,India,Chennai,KA,North,430,Furniture,Binders,Product_B,135.91,4,0.5,9.07
ORD-100005,1/1/2022 5:00,1/2/2022 5:00,2095,Customer_5,Corporate,India,Delhi,KA,South,434,Office Supplies,Phones,Product_C,1620.54,5,0.38,3.61
ORD-100006,1/1/2022 6:00,1/2/2022 6:00,4772,Customer_6,Home Office,India,Hyderabad,KA,North,211,Technology,Binders,Product_D,881.72,8,0.03,1066.35
ORD-100007,1/1/2022 7:00,1/2/2022 7:00,4092,Customer_7,Home Office,India,Chennai,DL,South,333,Office Supplies,Chairs,Product_C,1365.1,1,0.34,505.39
ORD-100008,1/1/2022 8:00,1/2/2022 8:00,2638,Customer_8,Corporate,India,Delhi,DL,North,301,Office Supplies,Binders,Product_C,373.01,7,0.35,6.65
ORD-100009,1/1/2022 9:00,1/2/2022 9:00,3169,Customer_9,Consumer,India,Chennai,KA,East,422,Technology,Chairs,Product_B,1300.92,8,0.31,459.04
ORD-100010,1/1/2022 10:00,1/2/2022 10:00,1466,Customer_10,Corporate,India,Chennai,TS,South,238,Technology,Storage,Product_C,3446.78,1,0.44,948.55
ORD-100011,1/1/2022 11:00,1/2/2022 11:00,2238,Customer_11,Consumer,India,Chennai,MH,East,366,Furniture,Binders,Product_C,4120.99,5,0.37,996.89
ORD-100012,1/1/2022 12:00,1/2/2022 12:00,1330,Customer_12,Consumer,India,Delhi,TN,South,371,Office Supplies,Binders,Product_A,1802.22,6,0.08,1745.14
ORD-100013,1/1/2022 13:00,1/2/2022 13:00,2482,Customer_13,Corporate,India,Hyderabad,MH,North,265,Technology,Chairs,Product_A,2660.08,5,0.13,1825.43
ORD-100014,1/1/2022 14:00,1/2/2022 14:00,3135,Customer_14,Consumer,India,Delhi,MH,West,268,Furniture,Chairs,Product_A,304.77,9,0.23,7.54
ORD-100015,1/1/2022 15:00,1/2/2022 15:00,4444,Customer_15,Consumer,India,Delhi,TN,North,356,Office Supplies,Phones,Product_B,544.92,4,0.2,725.81
ORD-100016,1/1/2022 16:00,1/2/2022 16:00,4171,Customer_16,Corporate,India,Chennai,KA,West,223,Technology,Storage,Product_B,2804.43,2,0.33,614.01
ORD-100017,1/1/2022 17:00,1/2/2022 17:00,3919,Customer_17,Corporate,India,Bangalore,MH,East,137,Technology,Chairs,Product_C,4218.83,9,0.07,1418.2
ORD-100018,1/1/2022 18:00,1/2/2022 18:00,4735,Customer_18,Corporate,India,Bangalore,TN,West,469,Office Supplies,Phones,Product_C,531.14,2,0.18,-18.37
ORD-100019,1/1/2022 19:00,1/2/2022 19:00,1130,Customer_19,Consumer,India,Bangalore,TS,West,348,Technology,Chairs,Product_B,2150.88,2,0.12,65.24
ORD-100020,1/1/2022 20:00,1/2/2022 20:00,2685,Customer_20,Home Office,India,Delhi,TS,West,336,Office Supplies,Storage,Product_D,4855.08,6,0.15,-104.49
ORD-100021,1/1/2022 21:00,1/2/2022 21:00,4380,Customer_21,Consumer,India,Chennai,TS,West,197,Office Supplies,Storage,Product_D,3720.08,9,0.36,1330.69
ORD-100022,1/1/2022 22:00,1/2/2022 22:00,1769,Customer_22,Home Office,India,Bangalore,KA,East,159,Office Supplies,Storage,Product_D,1068.26,5,0.04,68.69
ORD-100023,1/1/2022 23:00,1/2/2022 23:00,3391,Customer_23,Corporate,India,Mumbai,MH,West,118,Technology,Storage,Product_A,1497.35,2,0.44,549.18
ORD-100024,1/2/2022 0:00,1/3/2022 0:00,2515,Customer_24,Home Office,India,Mumbai,MH,North,223,Technology,Binders,Product_C,4744.79,6,0.32,149.26
ORD-100025,1/2/2022 1:00,1/3/2022 1:00,4485,Customer_25,Corporate,India,Mumbai,DL,South,325,Office Supplies,Storage,Product_D,1182.84,1,0.21,1955.72
ORD-100026,1/2/2022 2:00,1/3/2022 2:00,3853,Customer_26,Corporate,India,Hyderabad,TS,South,199,Furniture,Storage,Product_A,2260.45,3,0.24,1119.99
ORD-100027,1/2/2022 3:00,1/3/2022 3:00,3433,Customer_27,Home Office,India,Chennai,KA,North,423,Office Supplies,Phones,Product_C,1842.49,3,0.35,214.07
ORD-100028,1/2/2022 4:00,1/3/2022 4:00,2215,Customer_28,Corporate,India,Delhi,TN,East,493,Office Supplies,Storage,Product_D,2501.19,6,0.37,-209.95
ORD-100029,1/2/2022 5:00,1/3/2022 5:00,1955,Customer_29,Home Office,India,Delhi,KA,North,116,Office Supplies,Chairs,Product_D,1259.24,4,0.4,596.77
ORD-100030,1/2/2022 6:00,1/3/2022 6:00,3324,Customer_30,Corporate,India,Chennai,MH,North,347,Furniture,Chairs,Product_A,3374.92,8,0.13,-47.12
ORD-100031,1/2/2022 7:00,1/3/2022 7:00,2184,Customer_31,Consumer,India,Hyderabad,TS,West,179,Technology,Chairs,Product_D,1249.5,7,0.43,-81.97
ORD-100032,1/2/2022 8:00,1/3/2022 8:00,1459,Customer_32,Consumer,India,Chennai,DL,West,184,Technology,Binders,Product_C,3050.3,9,0.42,237.62
ORD-100033,1/2/2022 9:00,1/3/2022 9:00,4385,Customer_33,Corporate,India,Hyderabad,KA,East,447,Office Supplies,Chairs,Product_D,1853.07,5,0.43,1915.96
ORD-100034,1/2/2022 10:00,1/3/2022 10:00,1021,Customer_34,Corporate,India,Bangalore,DL,East,128,Office Supplies,Storage,Product_A,1332.23,5,0.04,499.59
ORD-100035,1/2/2022 11:00,1/3/2022 11:00,3300,Customer_35,Home Office,India,Bangalore,MH,South,233,Technology,Binders,Product_D,3505.51,5,0.07,25.9
ORD-100036,1/2/2022 12:00,1/3/2022 12:00,1747,Customer_36,Consumer,India,Hyderabad,TN,East,293,Office Supplies,Storage,Product_A,4829.67,9,0.31,321.1
ORD-100037,1/2/2022 13:00,1/3/2022 13:00,3904,Customer_37,Home Office,India,Chennai,KA,North,218,Technology,Phones,Product_B,4359.94,2,0.48,694.37
ORD-100038,1/2/2022 14:00,1/3/2022 14:00,4632,Customer_38,Corporate,India,Bangalore,MH,South,477,Furniture,Storage,Product_D,525.49,7,0.05,-320.38
ORD-100039,1/2/2022 15:00,1/3/2022 15:00,1474,Customer_39,Corporate,India,Chennai,TS,South,466,Office Supplies,Chairs,Product_C,2326.63,3,0.37,262.48
ORD-100040,1/2/2022 16:00,1/3/2022 16:00,2082,Customer_40,Home Office,India,Bangalore,KA,West,290,Technology,Phones,Product_D,3504.42,8,0.07,-142
ORD-100041,1/2/2022 17:00,1/3/2022 17:00,3558,Customer_41,Corporate,India,Chennai,DL,West,252,Technology,Phones,Product_A,2856.82,9,0.48,-274.22
ORD-100042,1/2/2022 18:00,1/3/2022 18:00,4753,Customer_42,Consumer,India,Chennai,KA,South,442,Furniture,Phones,Product_B,3659.15,9,0.4,1772.48
ORD-100043,1/2/2022 19:00,1/3/2022 19:00,3047,Customer_43,Home Office,India,Mumbai,MH,West,371,Office Supplies,Phones,Product_C,4878.09,5,0.14,210.36
